Cargo_ID,Order_ID,Length_cm,Width_cm,Height_cm,Weight_kg,Category,Fragile,Destination_Zone,Priority,Stackable,Sorting_Sequence,Robotic_Pick_Position_X,Robotic_Pick_Position_Y,Robotic_Pick_Position_Z,Temperature_C,Humidity_%,Vibration_Level,Shock_Impact_g,Tilt_Angle_deg,GPS_Latitude,GPS_Longitude,Light_Exposure_lux,Battery_Level_%,Signal_Strength_dBm
CARGO_0001,ORDER_355,12.9,33.0,6.2,4.28,Electronics,True,Zone_D,3,False,32,46.0,30.5,4.0,21.24,47.19,0.19,0.37,6.59,10.721647,79.317506,217.82,79.67,-86.58
CARGO_0002,ORDER_349,11.6,23.4,4.2,2.44,Books,False,Zone_A,5,True,89,4.9,25.1,1.4,38.52,78.16,0.93,0.26,8.05,10.822074,78.443433,892.71,40.97,-42.54
CARGO_0003,ORDER_1116,7.4,10.4,5.4,0.81,Clothing,False,Zone_A,3,True,40,20.2,24.0,2.2,31.96,89.83,4.16,7.39,58.68,12.762214,79.366875,667.81,72.33,-78.28
CARGO_0004,ORDER_434,19.8,12.0,8.3,4.38,Beauty,True,Zone_A,3,False,19,19.6,31.4,5.3,27.96,31.8,3.83,3.18,43.82,10.230219,77.220525,864.41,75.94,-97.21
CARGO_0005,ORDER_135,19.1,20.1,3.5,2.39,Books,False,Zone_D,2,True,16,36.5,15.7,4.1,14.68,83.84,1.75,7.96,71.14,11.828682,77.574782,956.48,47.61,-41.78
CARGO_0006,ORDER_575,12.6,2.8,2.1,0.17,Beauty,True,Zone_D,4,False,36,39.4,22.8,9.1,14.68,67.36,1.88,4.32,82.46,12.045208,78.654603,125.64,57.99,-52.31
CARGO_0007,ORDER_141,21.3,17.0,4.8,4.17,Books,False,Zone_B,3,True,90,36.7,14.6,4.1,11.74,88.4,2.67,4.53,34.95,11.516625,79.841265,96.59,52.3,-84.74
CARGO_0008,ORDER_751,34.9,19.2,9.3,14.46,Clothing,False,Zone_C,5,True,71,40.5,32.3,7.1,35.99,57.9,0.0,5.13,53.68,12.082696,77.224274,803.41,95.79,-75.47
CARGO_0009,ORDER_397,42.3,37.0,4.3,13.64,Electronics,True,Zone_A,5,False,9,10.9,22.1,5.2,28.03,80.84,1.21,7.13,45.06,10.518264,77.129253,866.13,45.6,-48.26
CARGO_0010,ORDER_734,7.1,11.2,7.5,1.17,Beauty,True,Zone_D,1,False,91,15.5,30.6,4.7,31.24,33.74,1.04,2.74,88.34,12.557897,77.469652,583.76,34.67,-78.56
CARGO_0011,ORDER_136,4.2,11.9,1.1,0.11,Beauty,True,Zone_C,4,False,82,16.8,44.3,2.1,10.62,50.12,1.25,1.22,74.8,10.420077,78.923459,366.0,49.25,-65.96
CARGO_0012,ORDER_860,22.8,23.9,28.5,29.35,Home_Appliances,False,Zone_B,2,True,59,3.6,3.4,9.0,39.1,34.02,4.03,5.56,82.06,11.202437,78.196979,652.63,73.56,-67.91
CARGO_0013,ORDER_308,38.3,31.1,8.4,23.66,Electronics,True,Zone_C,1,False,71,43.6,22.0,0.8,34.97,88.52,1.4,3.27,22.89,10.225773,79.476657,305.66,75.79,-75.92
CARGO_0014,ORDER_370,17.7,6.1,3.8,0.85,Clothing,False,Zone_D,2,True,41,4.6,4.8,1.4,16.37,79.02,0.96,4.42,69.53,11.635633,77.215799,238.39,93.92,-61.63
CARGO_0015,ORDER_697,7.5,12.8,4.1,0.87,Beauty,True,Zone_B,5,False,48,34.8,11.6,2.6,15.45,81.15,2.52,6.47,23.89,12.009237,77.589242,488.15,90.54,-71.6
CARGO_0016,ORDER_392,48.1,12.9,9.2,11.0,Electronics,True,Zone_D,2,False,70,41.0,4.1,1.9,15.5,86.28,4.33,4.94,18.79,12.823665,77.900079,216.15,43.07,-98.73
CARGO_0017,ORDER_448,6.2,2.9,8.0,0.28,Beauty,True,Zone_A,3,False,20,37.2,46.3,7.3,19.13,35.11,1.21,6.2,84.98,12.218009,78.88019,483.7,56.41,-51.14
CARGO_0018,ORDER_619,26.7,7.3,17.4,6.33,Toys,False,Zone_B,2,True,57,35.0,4.6,8.7,25.74,53.14,0.39,5.44,1.74,11.623309,79.055518,956.61,79.78,-93.21
CARGO_0019,ORDER_464,39.3,17.8,4.0,5.36,Sports,False,Zone_B,1,True,42,43.6,0.5,6.1,22.96,34.26,1.78,7.4,86.88,12.797851,77.37261,839.78,93.32,-72.15
CARGO_0020,ORDER_761,10.6,27.4,2.2,1.43,Electronics,True,Zone_D,3,False,43,24.8,12.8,2.7,18.74,42.65,3.74,7.06,13.43,11.435311,79.831414,941.63,46.97,-65.21
CARGO_0021,ORDER_109,38.8,13.5,3.4,3.94,Clothing,False,Zone_D,2,True,80,28.7,47.7,5.5,28.36,43.76,2.75,5.34,73.75,11.683617,78.023132,806.33,55.56,-57.67
CARGO_0022,ORDER_1054,36.8,16.5,13.9,19.65,Toys,False,Zone_D,4,True,58,26.5,5.0,8.3,14.18,58.15,4.08,6.79,24.83,11.788296,79.139506,354.75,91.96,-75.35
CARGO_0023,ORDER_270,24.4,22.4,2.6,2.84,Books,False,Zone_A,5,True,46,25.6,20.0,3.3,18.76,46.11,4.8,8.74,31.56,11.229939,78.572623,812.05,48.68,-55.87
CARGO_0024,ORDER_843,31.6,24.3,4.7,6.7,Electronics,True,Zone_B,4,False,92,32.0,19.0,7.9,20.99,36.06,3.96,4.32,19.51,12.515448,77.668274,922.92,58.44,-92.12
CARGO_0025,ORDER_325,29.3,11.6,27.4,21.22,Sports,False,Zone_C,1,True,27,35.1,26.4,5.3,23.68,40.05,3.02,4.13,52.7,10.555528,79.538685,947.04,92.36,-60.79
CARGO_0026,ORDER_253,24.9,20.2,27.3,23.42,Sports,False,Zone_C,1,True,67,21.3,44.8,8.6,33.56,38.84,2.47,7.64,31.33,11.664527,79.454714,683.2,84.18,-50.42
CARGO_0027,ORDER_558,36.1,17.6,9.7,13.51,Sports,False,Zone_D,2,True,5,23.9,43.4,6.3,15.99,88.38,0.2,5.83,59.17,12.1667,78.188216,211.37,39.47,-46.63
CARGO_0028,ORDER_785,17.9,18.6,4.4,2.96,Books,False,Zone_B,4,True,19,36.5,42.3,6.3,25.43,75.56,4.92,0.71,1.41,12.711929,78.765823,39.73,45.98,-65.23
CARGO_0029,ORDER_176,10.8,30.3,8.6,6.09,Electronics,True,Zone_B,1,False,19,49.6,24.5,4.8,27.77,88.07,1.92,8.92,5.79,12.651755,77.773477,147.2,48.24,-81.23
CARGO_0030,ORDER_397,28.1,16.5,1.1,1.22,Books,False,Zone_C,1,True,69,42.0,13.4,4.2,11.39,56.38,0.76,0.31,8.97,11.526221,79.069555,965.55,93.02,-90.2
CARGO_0031,ORDER_528,58.9,7.1,10.6,10.22,Sports,False,Zone_A,3,True,92,24.9,45.8,1.4,28.23,46.7,3.33,7.48,37.71,11.929484,77.92708,462.1,99.91,-79.27
CARGO_0032,ORDER_869,19.0,12.0,3.8,1.89,Books,False,Zone_A,1,True,97,45.9,34.1,2.1,15.12,77.9,1.42,7.59,73.33,11.182713,79.532236,854.99,81.92,-67.6
CARGO_0033,ORDER_700,15.2,6.9,2.7,0.46,Beauty,True,Zone_A,3,False,73,10.5,34.9,5.4,11.95,49.58,2.93,9.53,79.94,11.404533,77.652155,465.04,58.75,-88.22
CARGO_0034,ORDER_788,36.8,19.7,10.0,13.5,Toys,False,Zone_D,4,True,43,27.2,35.3,6.3,38.47,47.96,2.93,0.54,22.03,12.718797,77.04441,660.82,20.81,-42.85
CARGO_0035,ORDER_280,19.7,35.0,27.5,41.11,Sports,False,Zone_B,5,True,11,30.2,14.0,6.1,38.97,43.95,2.23,5.97,51.69,12.792112,77.805524,24.14,75.8,-46.17
CARGO_0036,ORDER_1155,11.7,20.7,13.9,6.23,Electronics,False,Zone_B,4,True,62,4.1,22.6,9.7,34.25,37.78,4.18,4.28,69.15,12.686242,77.573157,249.86,51.15,-98.02
CARGO_0037,ORDER_1177,9.8,5.2,6.9,0.58,Beauty,False,Zone_D,3,True,32,7.3,33.0,6.6,19.14,45.39,1.32,3.31,25.99,10.415113,78.524859,436.27,70.64,-66.28
CARGO_0038,ORDER_792,43.4,28.7,6.5,19.0,Electronics,False,Zone_D,1,True,6,13.1,2.8,2.0,12.93,51.32,2.24,0.9,36.81,12.550252,77.61111,630.63,68.54,-52.64
CARGO_0039,ORDER_380,6.0,12.3,2.4,0.31,Beauty,True,Zone_C,4,False,96,13.6,33.5,6.1,30.53,70.44,2.69,5.63,47.16,12.845091,79.28957,171.52,58.47,-85.28
CARGO_0040,ORDER_50,14.0,6.1,5.5,1.07,Beauty,False,Zone_D,2,True,92,42.1,3.7,7.1,23.2,33.75,3.32,4.79,12.14,11.083749,77.724112,764.55,95.55,-68.57
CARGO_0041,ORDER_214,19.5,3.7,1.4,0.2,Beauty,True,Zone_C,2,False,97,37.6,0.1,0.9,13.66,42.63,3.92,1.05,2.34,11.555939,79.120905,364.4,21.85,-75.64
CARGO_0042,ORDER_239,43.9,32.5,15.7,45.5,Electronics,True,Zone_B,3,False,8,39.1,10.2,8.8,24.86,78.54,1.97,6.12,13.75,12.337286,78.735413,817.44,76.97,-88.21
CARGO_0043,ORDER_459,16.5,17.1,2.2,1.19,Books,False,Zone_B,3,True,42,5.3,11.7,7.8,11.03,38.82,3.23,7.38,56.42,11.686234,79.95875,97.97,52.79,-63.12
CARGO_0044,ORDER_624,23.3,20.3,4.5,3.45,Sports,False,Zone_A,5,True,41,23.9,36.3,6.4,37.28,50.56,0.75,7.67,6.63,12.980451,79.999703,679.76,77.1,-40.38
CARGO_0045,ORDER_303,68.5,24.2,44.6,175.23,Home_Appliances,False,Zone_B,5,False,2,37.8,14.0,6.0,17.76,81.88,4.66,9.05,17.07,11.36714,79.608578,293.33,74.02,-78.08
CARGO_0046,ORDER_448,12.9,17.5,8.6,3.75,Clothing,False,Zone_A,3,True,42,45.0,38.2,4.0,29.88,39.3,1.92,4.09,30.41,12.141828,79.27995,795.38,20.82,-66.86
CARGO_0047,ORDER_633,15.5,31.7,5.5,5.13,Electronics,False,Zone_D,3,True,8,25.0,24.7,4.2,19.35,34.96,3.65,9.53,7.01,12.377773,78.159369,402.17,42.83,-80.33
CARGO_0048,ORDER_753,11.7,10.0,2.2,0.5,Books,False,Zone_D,4,True,4,38.2,44.3,4.3,25.6,59.07,0.1,8.65,17.25,11.482301,79.25983,665.35,35.13,-47.38
CARGO_0049,ORDER_159,11.1,29.5,3.3,2.5,Electronics,True,Zone_D,4,False,76,4.7,9.5,4.6,26.4,48.15,1.03,2.97,82.01,12.570951,79.870027,934.31,33.36,-48.12
CARGO_0050,ORDER_137,18.2,9.6,2.7,0.89,Beauty,True,Zone_D,5,False,33,47.7,37.7,5.6,15.55,63.8,2.44,1.59,1.74,11.638464,77.070133,20.63,78.28,-89.27
CARGO_0051,ORDER_1023,9.2,12.9,4.9,1.04,Beauty,True,Zone_C,3,False,5,31.3,46.0,0.9,39.09,78.23,4.39,4.35,58.81,11.234952,78.613744,11.12,39.16,-46.0
CARGO_0052,ORDER_1062,39.8,32.3,13.0,36.98,Sports,False,Zone_B,5,True,19,46.3,32.5,5.5,33.25,38.23,2.64,4.02,34.6,10.323471,77.653995,770.28,57.98,-90.91
CARGO_0053,ORDER_960,36.5,12.8,9.9,9.36,Clothing,False,Zone_C,4,True,75,48.5,6.1,0.5,38.18,64.84,4.65,5.76,60.54,11.180241,78.673629,646.39,39.76,-94.27
CARGO_0054,ORDER_587,32.8,31.4,6.3,10.95,Toys,False,Zone_B,3,True,95,46.7,32.6,3.6,36.84,60.33,2.42,5.83,52.98,12.201809,78.399341,292.98,66.42,-60.82
CARGO_0055,ORDER_1030,21.6,27.5,17.4,22.14,Toys,False,Zone_A,5,True,48,49.7,8.4,9.1,27.94,38.64,2.45,7.5,20.11,12.763859,78.727306,494.4,77.65,-76.85
CARGO_0056,ORDER_1139,32.6,22.7,6.1,7.76,Clothing,False,Zone_D,2,True,14,36.8,49.8,9.5,37.66,67.44,0.6,5.1,76.25,10.755038,78.652887,41.94,46.49,-68.16
CARGO_0057,ORDER_789,51.7,40.1,35.3,161.83,Home_Appliances,False,Zone_C,2,False,63,6.0,32.6,1.0,12.65,46.42,4.01,1.05,44.27,11.065707,79.880321,192.45,68.24,-60.85
CARGO_0058,ORDER_853,59.5,31.3,28.6,110.8,Sports,False,Zone_D,5,False,3,36.7,17.1,3.9,15.88,59.27,1.23,8.58,74.03,10.461883,78.656558,424.5,85.99,-96.83
CARGO_0059,ORDER_194,47.5,53.3,17.7,76.53,Home_Appliances,False,Zone_B,5,False,18,4.2,30.1,2.9,11.36,34.94,4.5,3.1,36.54,12.072169,79.538696,834.04,27.54,-82.42
